"N.ASIG";"S.ASIG";"P.MAT";"P.LEN";"P.NEM";"PTU";"PROM.EM";"BECA.ARAN";"BECA.MANT"
4,8;"A";711,132441848711;676,559292077867;636,956617007654;606,3348082231;6,081886947155;59,32;400
6,3;"A";761,574186627946;519,69681901296;645,583268642256;562,641685580822;5,66778637133539;38,12;350
3,3;"R";666,794621585124;646,053913241523;530,545399524053;566,589489036874;6,30546935275197;67,75;150
6,5;"A";762,126713705689;546,787970135242;614,173935690246;497,61311723135;6,32439870685339;75,41;150
3,2;"R";592,325021954303;571,108041181494;581,738485743603;668,001220296731;5,65359989181161;80,02;200
4,8;"A";711,335847120042;557,537092311545;494,863401548422;661,64863742058;5,69524602405727;57,84;400
3,8;"R";628,752589639532;657,961235969478;598,91981774708;532,263349876635;6,18420729115605;27,05;250
3;"R";648,899217251848;635,235839003665;640,478903570686;557,910722485664;6,24971940256655;92,58;0
3,7;"R";609,310366621555;644,899636839671;581,445708848247;678,79659725712;5,74780743978918;6,35;150
3,6;"R";679,31870183909;647,933531167232;653,200353482242;537,551508461529;6,78693334795535;35,59;150
5;"A";767,00170471379;646,337287441412;653,884525238542;647,479395175604;5,46737637966871;94,79;0
3,3;"R";610,190766471872;597,65033712688;610,248337178039;645,161145240731;5,79024955965579;60,29;300
4,5;"A";715,586143782616;603,208695365827;724,367987764218;445,695064707609;6,7851600330323;4,54;300
4,5;"A";612,193764073556;538,0616038806;613,685327387645;567,726498883836;5,93635267168283;30,24;150
5,2;"A";686,365026725647;554,118332286835;669,300356240327;634,890004613917;6,21018604263663;12,16;300
3,9;"R";677,966937413905;588,212933031322;593,755007001456;510,085594820419;5,35306469239295;71,31;300
5,1;"A";715,332021775037;601,335737198053;600,75497957976;542,575543419743;6,06055728010833;80,94;150
4,6;"A";694,796013924091;522,66377183911;780,650780528046;575,591392739196;6,74484286420047;48,06;300
3,8;"R";657,701892395689;559,263553026132;689,414710874302;600,36549194269;5,34358864352107;47,07;350
4,3;"A";712,446815037016;649,504470370032;610,650300559447;610,757580013758;5,32177461870015;11,29;300
4,3;"A";653,316028543468;589,269816997192;628,993964933328;582,736025451956;6,00569641292095;23,53;250
3,3;"R";633,67825854749;657,912075230136;539,740392078275;680,093687389037;5,57702064663172;20,18;350
4,9;"A";731,754028242524;610,440579244176;505,573909226704;506,969686070333;5,36952567249537;61,09;50
4,6;"A";668,497938159554;496,701888914064;607,046023633651;621,001726293443;5,41494693234563;97,85;300
5,2;"A";682,222850363916;520,018915342995;535,835178921229;616,70991808572;5,71549337133765;11,6;250
4,1;"A";621,70900349037;593,623569278385;629,65755960664;545,692216076823;5,98796198554337;95,55;250
4,2;"A";635,934062265108;546,661658502839;725,599743226981;492,106224748226;5,9098542522639;6,96;0
2,9;"R";610,446268473437;622,41745291487;674,098339496068;623,775699431195;5,72261033132672;30,95;150
3,9;"R";638,495236831565;627,464573619012;574,523738089157;615,617027385687;5,67166793271899;69,88;400
4,3;"A";627,280030420227;484,437440960738;670,648698551233;543,685566531956;6,7028060503304;8,92;400
4,7;"A";711,199846547426;654,744054264283;595,982169156843;676,522541216653;5,4216400846839;66,19;100
4;"A";655,340444115229;617,235208405867;626,692318512499;706,512242011997;5,47468591816723;53,58;50
6;"A";738,245293072113;517,461170141527;586,768100353666;666,485060016754;5,53639305196702;93,94;250
4,1;"A";656,017971378679;582,600053210325;556,311945849686;558,407423354268;6,18235441818833;19,17;200
6,1;"A";690,159793436555;435,133526730044;595,74159290962;561,029725757578;6,79914181046188;69,61;350
5,7;"A";691,527220945921;453,944499029888;612,335959730579;540,048383172307;5,75632737837732;80,05;300
5;"A";698,168731945838;517,676536405986;592,401954701501;625,303526632206;5,62629363052547;49,29;150
2,9;"R";621,631195102562;706,724870940273;578,949030821123;644,85365809969;6,48005965203047;56,83;100
3,8;"R";688,200334955595;639,236123944226;568,840092196625;647,606150365605;5,64282709509134;35,86;400
5,8;"A";763,442413555584;499,693394266863;632,947675218612;553,769414012299;5,38969349898398;91,05;250
4,8;"A";710,024064821975;580,024945281547;561,686785336036;561,382725815854;6,13816635794938;90,6;100
4,3;"A";661,450643872695;567,389365817411;581,582141081619;611,920811654123;6,25650063641369;83,68;0
4,5;"A";661,635149590878;579,907373565201;660,28868096676;606,800984688251;5,74681117013097;3,75;0
4,1;"A";754,823743447808;676,305191493315;690,083954904269;612,677312266065;6,6296169873327;30,82;50
4,6;"A";701,617368378837;549,114414439328;596,916537949781;566,100554811848;5,68314310498536;69,83;400
3,1;"R";636,408504686598;637,27743514115;641,378738119128;625,692663458633;6,03011793345213;37,91;250
4,4;"A";668,59404314374;518,425798936158;697,827575465881;663,48696185267;5,64874447323382;49,42;300
3,7;"R";684,657258845142;588,222501625895;565,623393418908;562,270667971913;5,50969248786569;69,6;300
4,5;"A";706,772691067338;566,869460485535;594,871428169843;669,887422260808;6,71139546148479;41,94;100
5;"A";695,993379238926;627,145744715058;613,596616527065;721,792564331596;5,8469975553453;41,18;350
4,1;"A";688,901051267848;618,36362957777;590,315060543174;534,702411168709;6,128863215819;11;300
5,6;"A";728,268391226932;460,77962525985;496,525693516501;593,731920120182;5,27882973439992;86,65;400
4,7;"A";652,973814414416;524,520994831132;533,418125924976;527,075556170762;6,00338810011745;47,46;150
3,3;"R";656,732600100092;671,703383198933;674,755143873314;550,990657672816;6,62662551440299;9,79;100
3,7;"R";660,77232582345;578,211798734994;485,223706171915;639,611978064395;6,39519733712077;49,97;300
3,6;"R";648,167059490506;603,506191292608;504,598975023767;575,707963377232;6,70021526664496;83,28;50
3,7;"R";671,55515455285;658,136764862477;646,457834969662;601,674358852843;6,65798524059355;81,7;250
4,6;"A";650,211855867574;503,504906873921;558,030892572489;658,813141952766;5,42499724179506;9,53;350
4;"A";709,799774455398;637,545958001417;667,401355148809;562,242887386354;5,45101685486734;98,48;200
3,8;"R";732,198020670977;641,591144185079;570,03767662203;667,812915426794;5,77423812709749;82,57;250
3,6;"R";641,252806271759;638,781824189212;650,743076386716;530,119115129177;6,58749020174146;64,66;0
4,6;"A";644,756451897914;482,216570512902;666,224652834312;603,833732264654;6,16803886517882;16,1;50
3,7;"R";628,270785786642;642,426976715027;523,531684061259;572,772204708205;5,74671145752072;79,41;300
6,7;"A";758,37977254314;501,982131891392;568,07884457077;550,634508527695;5,98634916618466;64,94;100
4,5;"A";708,122503422527;596,30864425163;532,363270825236;619,903378111763;5,83439119905233;87,57;400
3,3;"R";664,900966152082;648,839873292476;534,688852384101;754,814457259626;6,26632149480283;80,31;250
4,5;"A";688,421755725254;578,051900529986;559,495584573743;584,707745134882;5,39732773937285;25,54;400
3,9;"R";696,993783794304;677,110006735153;630,500946282373;644,641068287811;5,35466893315315;99,36;0
5,6;"A";746,759817402542;490,613868730104;410,341688730237;664,347415422341;6,13551206812263;86,79;50
4,7;"A";678,514040228854;560,19506826641;668,394569824091;465,270017025576;6,29220382384956;19,05;350
4,4;"A";668,343489240926;632,118819287139;514,769857642317;542,807906412837;5,95785417407751;10,09;400
4,3;"A";675,173400428463;586,624281884018;586,182718166768;668,479106670542;6,38259488195181;34,69;50
5,2;"A";709,14428704765;533,430589237747;616,232414756996;722,382644766727;6,42388716675341;57,09;250
3,8;"R";688,66740962195;587,719296380506;514,125660145929;591,48203679684;5,76114993616939;77,89;300
3,9;"R";631,884808061786;572,795169755171;541,036030962638;607,45969468101;6,15969177559018;46,51;250
4,3;"A";678,362308653812;594,802659497476;577,011249182035;502,150303731129;6,62606335729361;64,31;400
3,7;"R";649,56493325974;680,797600928368;600,821081675752;611,855372776485;5,23322758972645;14,57;100
2,5;"R";563,272244209144;576,871835709403;675,148271919257;617,571629309533;6,09999845512211;65;150
3,7;"R";655,89362914886;680,333718320788;618,096498722742;637,796003251202;6,67672778405249;83,38;100
5;"A";658,873494625009;551,162484659814;604,031135059768;703,444791450006;5,88921178691089;7,64;50
5,3;"A";740,584476031472;590,791442769134;570,815936472098;545,615283019917;6,39660964496434;39,36;350
5;"A";716,505527618889;573,484824605912;618,397702948765;561,508169986652;6,71498481817543;63,39;400
4,2;"A";667,863986012785;565,448738367741;646,12027651353;667,85183130852;5,74621354229748;41,28;50
4,2;"A";629,666154557061;626,288889361882;714,069521702905;525,645801061621;6,19927688315511;16,88;50
4,7;"A";680,424613359004;612,365397986493;630,117280588053;677,63012972096;5,78148509711027;61,52;200
4,8;"A";721,213517664518;561,264734750514;558,356978209866;673,586478396164;5,88450174853206;85,81;150
5,2;"A";697,124514039991;535,499662674112;693,44821606306;694,07296639713;5,93756173476577;81,29;0
5,5;"A";738,300323117558;556,773991899254;721,615970603924;607,394222164906;5,24436803050339;70,06;350
5,2;"A";686,493645569534;522,623074506399;667,255052707248;571,09131204533;6,29362708441913;49,92;150
4,7;"A";627,339717415389;494,416516885817;598,240695210773;527,567158017068;5,89131016805768;9,84;100
3,6;"R";661,520644219499;704,894969610311;465,071397535659;666,592957453485;6,41493030935526;63,59;250
4,7;"A";645,001541552503;531,111824660019;580,722546800033;531,280942189044;6,43174096532166;6,97;300
5,6;"A";693,819234038408;521,04279834259;663,630227497598;591,086268478009;5,98582590147853;42,16;250
4,9;"A";693,589196895551;540,1059651878;534,257285999602;569,461675881894;5,21507344730198;63,4;100
4,2;"A";639,368250485489;493,49042920528;668,135430150817;605,225115952912;6,43707958757877;91,97;300
4,2;"A";696,417768224884;613,9271245124;573,797976221435;651,611464254567;6,14027551077306;51,68;400
4,9;"A";712,902190905523;517,626796881472;624,998643887462;498,742663485061;5,60765062943101;94,59;150
4;"A";658,851927598187;553,20147270839;472,537488372396;534,755738858444;5,855789944157;74,83;300
4,9;"A";688,092528497399;501,138823103619;595,063719556351;520,219078626673;5,50881906598806;14,21;100
5;"A";682,719401573517;576,959020741668;756,126550231758;632,308573810893;6,13041597791016;91,35;400
4,8;"A";643,103707724699;507,559071902322;699,209477079744;514,221577571618;6,35860308930278;67,19;300
4,1;"A";608,331571982494;582,677708426702;556,051350713915;573,564822891763;5,29909338392317;19,31;100
5,5;"A";760,423267245062;568,519127351703;567,467619735595;621,083640767059;6,77333224676549;16,07;50
4,6;"A";713,670541089127;563,929965867152;568,494099316247;576,355530034949;5,81467597484589;77,93;0
4,7;"A";641,014343265051;553,168391706611;672,871701676121;574,568732002395;6,75692719817162;68;200
4,4;"A";703,444889825876;595,77586728274;577,12939981955;649,158037154468;6,32324593663216;95,82;0
4,4;"A";649,797948166903;591,447928383561;594,11359775945;567,759641987262;6,36350685507059;17,43;300
4,2;"A";708,13020057541;669,365000855969;604,210183493419;529,580060696021;6,41666157245636;80,45;300
3,2;"R";638,902223624711;670,273251255922;582,859013031035;623,126663200593;6,28930844739079;2,5;100
4,4;"A";652,833749682355;573,468682283418;580,077420545349;592,992989776413;6,77332162931561;12,62;250
3,4;"R";642,974025371352;681,813729273064;536,037390762114;695,702649785096;6,29791250862181;68,8;200
3,7;"R";673,533371818432;680,356147786662;553,290240441988;521,916232418081;5,79919341132045;22,77;250
4,8;"A";730,277759158522;545,395445333086;550,085004298119;734,928761233789;5,52030610665679;42,34;350
5;"A";626,688680161608;514,051715074762;577,549430258022;686,755583909004;5,50598554760218;43,14;50
3,9;"R";668,567719649545;637,196430359109;620,960723053274;616,703058350401;6,68814361914992;0,67;350
4,3;"A";723,889349115257;708,677189511207;603,649481463548;573,402368429809;6,54829210042953;31,26;400
4,3;"A";613,48197207884;512,242699033198;541,009395105634;644,334205474167;5,92511180341244;96,62;300
4,4;"A";663,02836501855;540,528455648664;646,570885790389;705,181510356319;6,12333900183439;36,91;0
4,8;"A";672,287258089627;592,344095013268;675,495276864188;506,882874199528;5,49078782126307;95,98;150
3,2;"R";598,995525125391;656,974131803302;567,431197783821;635,047269883608;5,59578265063465;84,2;250
